"ID";"RegioS";"Perioden";"TotaleOppervlakte_1";"TotaalVerkeersterrein_2";"Spoorterrein_3";"Wegverkeersterrein_4";"Vliegveld_5";"TotaalBebouwdTerrein_6";"Woonterrein_7";"TerreinVoorDetailhandelEnHoreca_8";"TerreinVoorOpenbareVoorzieningen_9";"TerreinVoorSociaalCultureleVoorz_10";"Bedrijventerrein_11";"TotaalSemiBebouwdTerrein_12";"Stortplaats_13";"Wrakkenopslagplaats_14";"Begraafplaats_15";"Delfstofwinplaats_16";"Bouwterrein_17";"SemiVerhardOverigTerrein_18";"TotaalRecreatieterrein_19";"ParkEnPlantsoen_20";"Sportterrein_21";"Volkstuin_22";"DagrecreatiefTerrein_23";"VerblijfsrecreatiefTerrein_24";"TotaalAgrarischTerrein_25";"TerreinVoorGlastuinbouw_26";"OverigAgrarischTerrein_27";"TotaalBosEnOpenNatuurlijkTerrein_28";"Bos_29";"OpenDroogNatuurlijkTerrein_30";"OpenNatNatuurlijkTerrein_31";"TotaalBinnenwater_32";"IJsselmeerMarkermeer_33";"AfgeslotenZeearm_34";"RijnEnMaas_35";"Randmeer_36";"Spaarbekken_37";"RecreatiefBinnenwater_38";"BinnenwaterVoorDelfstofwinning_39";"VloeiEnOfSlibveld_40";"OverigBinnenwater_41";"TotaalBuitenwater_42";"WaddenzeeEemsDollard_43";"Oosterschelde_44";"Westerschelde_45";"Noordzee_46"
"0";"NL01  ";"1996JJ00";" 4152618";"  112503";"    9060";"  100842";"    2601";"  304823";"  213770";"    4438";"   11484";"   15153";"   59980";"   37780";"    2844";"     513";"    3890";"    3069";"   21736";"    5728";"   86166";"   22672";"   31081";"    4062";"    9951";"   18401";" 2360382";"   13887";" 2346494";"  478396";"  344079";"   83571";"   50746";"  355267";"  183503";"   32122";"   18055";"   14313";"    1252";"    8799";"    2614";"     629";"   93981";"  417301";"  259135";"   34596";"   29779";"   93792"
"1";"NL01  ";"2000JJ00";" 4152803";"  113039";"    8782";"  101622";"    2636";"  318330";"  221141";"    4592";"   11486";"   15167";"   65945";"   48573";"    2693";"     526";"    3991";"    3187";"   32713";"    5463";"   88877";"   24011";"   31484";"    3997";"   10255";"   19131";" 2326047";"   14981";" 2311066";"  483463";"  350128";"   83257";"   50079";"  357440";"  183261";"   32099";"   18067";"   14039";"    1244";"    8991";"    2869";"     748";"   96124";"  417032";"  259350";"   34582";"   29783";"   93317"
"2";"NL01  ";"2003JJ00";" 4152795";"  114268";"    8400";"  103626";"    2242";"  328867";"  223891";"    6249";"   12193";"   15448";"   71086";"   50615";"    2734";"     537";"    4116";"    3112";"   34890";"    5226";"   93702";"   26675";"   32218";"    3908";"   10607";"   20293";" 2304074";"   15660";" 2288414";"  484090";"  346374";"   83587";"   54129";"  359815";"  183170";"   32121";"   17913";"   15627";"    1248";"    9680";"    2942";"     693";"   96420";"  417363";"  257265";"   34585";"   29855";"   95657"
"3";"NL01  ";"2006JJ00";" 4154307";"  115955";"    8510";"  104994";"    2451";"  337927";"  227810";"    7059";"   11874";"   15636";"   75547";"   52849";"    2675";"     542";"    4156";"    3121";"   37625";"    4730";"   96311";"   27716";"   33394";"    3906";"   10601";"   20694";" 2285799";"   16241";" 2269558";"  484024";"  344700";"   84991";"   54332";"  362628";"  183168";"   32141";"   18038";"   15632";"    1245";"    9700";"    3325";"     648";"   98731";"  418815";"  257164";"   34586";"   29875";"   97190"
"4";"NL01  ";"2008JJ00";" 4154307";"  117149";"    8585";"  106115";"    2449";"  344874";"  230103";"    9016";"   11762";"   15435";"   78558";"   51391";"    2647";"     580";"    4192";"    2869";"   36795";"    4310";"   97659";"   27989";"   34121";"    3839";"   10491";"   21218";" 2275827";"   16791";" 2259037";"  485003";"  344792";"   85530";"   54681";"  363529";"  183167";"   31995";"   18054";"   15601";"    1244";"    9984";"    2769";"     665";"  100050";"  418874";"  257151";"   34590";"   29928";"   97205"
"5";"NL01  ";"2010JJ00";" 4154307";"  117602";"    8630";"  106607";"    2365";"  350161";"  231375";"   10412";"   11734";"   15283";"   81358";"   51202";"    2402";"     540";"    4292";"    3155";"   36896";"    3916";"   98834";"   28389";"   34474";"    3762";"   10659";"   21551";" 2264376";"   16622";" 2247754";"  486528";"  345380";"   87758";"   53390";"  366121";"  183116";"   32092";"   18134";"   15603";"    1242";"    9840";"    3306";"     603";"  102185";"  419483";"  256154";"   34593";"   29939";"   98797"
"6";"NL01  ";"2012JJ00";" 4154302";"  116123";"    8882";"  104941";"    2300";"  355986";"  233575";"   10975";"   11684";"   15671";"   84081";"   51002";"    2205";"     509";"    4318";"    3053";"   36983";"    3934";"  102561";"   29547";"   35321";"    3629";"   11665";"   22399";" 2252233";"   15868";" 2236365";"  490088";"  344043";"   90016";"   56029";"  367982";"  183145";"   32101";"   18152";"   15573";"    1243";"   10328";"    3085";"     450";"  103905";"  418325";"  256231";"   34594";"   29884";"   97615"
"7";"NL01  ";"2015JJ00";" 4154303";"  115563";"    8885";"  104402";"    2276";"  361526";"  235839";"   11437";"   11823";"   16093";"   86336";"   49318";"    2191";"     475";"    4384";"    3354";"   34949";"    3966";"  105418";"   30819";"   35962";"    3606";"   11810";"   23222";" 2236317";"   15511";" 2220806";"  498956";"  341270";"   95055";"   62631";"  371941";"  183138";"   32117";"   18176";"   15548";"    1242";"   10544";"    3434";"     614";"  107129";"  415264";"  254947";"   34588";"   29830";"   95900"
"8";"NL01  ";"2017JJ00";" 4154302";"  115108";"    8845";"  103836";"    2426";"  370140";"  241408";"   12028";"   12057";"   16463";"   88184";"   39221";"    1930";"     429";"    4540";"    3147";"   25046";"    4129";"  108335";"   32863";"   36288";"    3608";"   11526";"   24051";" 2230445";"   15766";" 2214680";"  501461";"  340646";"   93780";"   67035";"  374381";"  182893";"   31982";"   18178";"   15514";"    1240";"   11104";"    2976";"     484";"  110008";"  415211";"  254432";"   34578";"   29812";"   96389"
"9";"LD01  ";"1996JJ00";" 1138832";"   21682";"    1251";"   20195";"     238";"   40627";"   30190";"     439";"    1361";"    1926";"    6710";"    6882";"     538";"      78";"     768";"    1037";"    3515";"     948";"   12227";"    2612";"    4339";"     407";"    1470";"    3398";"  659666";"     487";"  659179";"   92620";"   49505";"   23885";"   19230";"   74389";"   45795";"    2396";"";"";"       0";"    1142";"     648";"     191";"   24214";"  230740";"  208563";"";"";"   22177"
